,appearences,assists,blocks,captain,dispossesed,goals,hit_post,injured,inside_box_saves,interceptions,lineups,minutes,number,player_id,position_id,redcards,saves,substitute_in,substitute_out,substitutes_on_bench,tackles,yellowcards,yellowred
21,9,0,,0,,2,,FALSE,,,2,293,11,93950,4,0,,7,2,8,,0,0
22,7,0,,0,,1,,FALSE,,,6,508,14,94411,4,0,,1,4,3,,1,1
23,1,0,,0,,1,,FALSE,,,1,90,19,93948,4,0,,0,1,5,,0,0
24,10,0,,0,,2,,FALSE,,,5,548,22,94063,4,0,,5,1,5,,1,0
0,8,0,,0,,0,,FALSE,,,8,720,1,6971237,1,0,,0,0,0,,0,0
1,2,0,,0,,0,,FALSE,,,2,180,18,30299,1,0,,0,0,0,,0,0
2,0,0,,0,,0,,FALSE,,,0,0,30,33386,1,0,,0,0,2,,0,0
3,0,0,,0,,0,,FALSE,,,0,0,33,30694,1,0,,0,0,8,,0,0
4,5,0,,0,,0,,FALSE,,,4,382,2,29876,2,0,,1,0,4,,1,0
5,5,0,,0,,0,,FALSE,,,3,327,3,30038,2,0,,2,0,3,,0,0
6,9,0,,0,,0,,FALSE,,,9,810,4,29718,2,0,,0,0,1,,0,0
7,10,0,,0,,0,,FALSE,,,9,813,15,30487,2,0,,1,1,1,,0,0
8,1,0,,0,,0,,FALSE,,,1,46,23,670,2,0,,0,1,5,,1,0
9,10,0,,0,,1,,FALSE,,,9,799,27,29703,2,0,,1,2,1,,1,0
10,1,0,,0,,0,,FALSE,,,1,65,5,526502,3,0,,0,1,0,,1,0
11,9,0,,0,,1,,FALSE,,,9,676,6,30133,3,0,,0,6,0,,1,0
12,4,0,,0,,0,,FALSE,,,2,186,7,29715,3,0,,2,0,8,,1,0
13,10,0,,0,,5,,FALSE,,,10,898,10,94018,3,0,,0,1,0,,2,0
14,6,0,,0,,0,,FALSE,,,0,93,14,29702,3,0,,6,0,8,,1,0
15,4,0,,0,,0,,FALSE,,,4,360,16,335,3,0,,0,0,6,,1,0
16,0,0,,0,,0,,FALSE,,,0,0,19,33133,3,0,,0,0,4,,0,0
17,3,0,,0,,0,,FALSE,,,0,86,20,29562,3,0,,3,0,8,,0,0
18,10,0,,0,,1,,FALSE,,,10,900,22,29789,3,0,,0,0,0,,2,0
19,9,0,,0,,3,,FALSE,,,9,810,24,29664,3,0,,0,0,0,,0,0
20,0,0,,0,,0,,FALSE,,,0,0,35,35743,3,0,,0,0,1,,0,0
21,9,0,,0,,2,,FALSE,,,5,479,9,29961,4,0,,4,4,5,,1,0
22,9,0,,0,,4,,FALSE,,,9,745,11,29560,4,0,,0,2,0,,1,1
23,6,0,,0,,2,,FALSE,,,6,510,17,567,4,0,,0,2,0,,1,1
0,12,0,,0,,0,,FALSE,,,12,1059,1,127985,1,0,,0,1,0,,0,0
1,1,0,,0,,0,,FALSE,,,0,21,16,108490,1,0,,1,0,12,,0,0
2,5,0,,0,,0,,FALSE,,,3,296,2,128187,2,0,,2,1,2,,0,0
3,9,0,,0,,0,,FALSE,,,6,544,3,127909,2,0,,3,1,4,,1,0
4,11,0,,0,,0,,FALSE,,,10,868,4,127654,2,0,,1,1,2,,0,0
5,3,0,,0,,0,,FALSE,,,2,192,5,128258,2,0,,1,2,8,,2,0
6,10,0,,0,,0,,FALSE,,,10,900,13,127987,2,0,,0,0,0,,2,0
7,2,0,,0,,0,,FALSE,,,1,137,17,94850,2,0,,1,1,4,,0,0
8,2,0,,0,,0,,FALSE,,,0,44,18,80132,2,0,,2,0,6,,0,0
9,11,0,,0,,0,,FALSE,,,8,799,27,128663,2,0,,3,0,4,,1,0
10,9,0,,0,,0,,FALSE,,,8,648,31,24021,2,0,,1,2,1,,1,1
11,11,0,,0,,0,,FALSE,,,11,862,8,127965,3,0,,0,7,0,,4,0
12,4,0,,0,,0,,FALSE,,,0,113,10,158083,3,0,,4,0,12,,0,0
13,5,0,,0,,0,,FALSE,,,1,129,14,3943,3,0,,4,0,11,,1,0
14,11,0,,0,,1,,FALSE,,,11,974,20,127538,3,0,,0,2,1,,1,0
15,12,0,,0,,1,,FALSE,,,12,1014,21,127989,3,0,,0,4,0,,1,0
16,12,0,,0,,5,,FALSE,,,12,989,22,127540,3,0,,0,3,0,,1,0
17,4,0,,0,,0,,FALSE,,,1,139,23,127946,3,0,,3,0,3,,0,0
18,12,0,,0,,9,,FALSE,,,11,951,7,653,4,0,,1,2,1,,0,0
19,6,0,,0,,4,,FALSE,,,4,395,9,127495,4,0,,2,3,4,,2,0
20,10,0,,0,,0,,FALSE,,,6,508,11,127771,4,0,,4,4,5,,0,0
21,5,0,,0,,0,,FALSE,,,3,292,32,128002,4,0,,2,1,3,,0,0
22,0,0,,0,,0,,FALSE,,,0,0,37,106942,4,0,,0,0,1,,0,0
0,1,0,,0,,0,,FALSE,,,1,90,,76202,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,,23585,1,0,,0,0,2,,0,0
2,2,0,,0,,0,,FALSE,,,2,180,,78772,2,0,,0,0,0,,1,0
3,2,0,,0,,0,,FALSE,,,0,25,,78595,2,0,,2,0,2,,0,0
4,0,0,,0,,0,,FALSE,,,0,0,,79075,2,0,,0,0,2,,0,0
5,1,0,,0,,0,,FALSE,,,1,46,,23409,2,0,,0,1,0,,0,0
6,2,0,,0,,0,,FALSE,,,2,180,,32214,2,0,,0,0,0,,0,0
7,2,0,,0,,0,,FALSE,,,2,180,,78654,2,0,,0,0,0,,0,0
8,1,0,,0,,0,,FALSE,,,1,90,,7035132,2,0,,0,0,1,,1,0
9,2,0,,0,,0,,FALSE,,,2,180,,51382,3,0,,0,1,0,,1,0
10,2,0,,0,,0,,FALSE,,,2,107,,78799,3,0,,0,2,0,,0,0
11,2,0,,0,,0,,FALSE,,,0,73,,32350,3,0,,2,0,2,,0,0
12,2,0,,0,,1,,FALSE,,,2,180,,79553,3,0,,0,0,0,,1,0
13,2,0,,0,,0,,FALSE,,,2,180,,78998,3,0,,0,0,0,,1,0
14,2,0,,0,,0,,FALSE,,,2,155,,79725,3,0,,0,1,0,,1,0
15,1,0,,0,,0,,FALSE,,,0,44,,33451,4,0,,1,0,2,,0,0
16,0,0,,0,,0,,FALSE,,,0,0,,163278,4,0,,0,0,1,,0,0
17,2,0,,0,,0,,FALSE,,,2,174,,60759,4,0,,0,1,0,,1,0
18,1,0,,0,,0,,FALSE,,,0,6,,77235,4,0,,1,0,2,,0,0
0,0,0,,0,,0,,FALSE,,,0,0,,82892,1,0,,0,0,4,,0,0
1,4,0,,0,,0,,FALSE,,,4,360,,2279,1,0,,0,0,0,,0,0
2,4,0,,0,,0,,FALSE,,,4,360,,14,2,0,,0,0,0,,1,0
3,2,0,,0,,0,,FALSE,,,2,165,,83354,2,0,,0,1,2,,0,0
4,2,0,,0,,0,,FALSE,,,2,180,,6971391,2,0,,0,0,0,,0,0
5,4,0,,0,,0,,FALSE,,,4,360,,546778,2,0,,0,0,0,,1,0
6,0,0,,0,,0,,FALSE,,,0,0,,82788,2,0,,0,0,2,,0,0
7,4,0,,0,,0,,FALSE,,,4,360,,83351,2,0,,0,0,0,,0,0
8,0,0,,0,,0,,FALSE,,,0,0,,7035133,2,0,,0,0,3,,0,0
9,4,0,,0,,1,,FALSE,,,0,137,,29630,3,0,,4,0,4,,0,0
